Total lanes,Express lanes,Bagging,Average interval,,,,,,
9999,2504,7510,55110,1,0.485748575,463,143.1139706,202.6102941,272
10023,2213,7810,81225,1,0.514416841,482,142.1850117,190.2224824,427
10005,2449,7556,57925,1,0.476661669,467,148.3669065,208.3633094,278
10005,2646,7359,44145,1,0.51824088,477,135.239819,199.7511312,221
10014,2346,7607,54565,1,0.49490713,424,147.3686131,199.1423358,274
10037,2989,6999,40290,1,0.447643718,458,130.989899,203.4848485,198
9987,2086,7952,48760,1,0.513367378,476,142.1822034,206.6101695,236
10011,301,9698,116320,8,4.408950155,2223,852.0709343,201.2456747,578
10002,2097,7876,64035,1,0.51029794,472,140.1981982,192.2972973,333
10002,2493,7509,33470,1,0.453509298,461,120.2258065,179.9462366,186
10012,2794,7218,46285,1,0.520175789,440,132.4304348,201.2391304,230
10003,2678,7325,52380,1,0.497650705,464,142.3435115,199.9236641,262
10004,351,9633,114775,7,2.324370252,1252,458.4050847,194.5338983,590
10030,2636,7394,55275,1,0.484745763,440,142.4623656,198.1182796,279
10024,2638,7386,53120,1,0.483938547,494,136.3060498,189.0391459,281
10034,2077,7957,41415,1,0.469204704,482,124.7747748,186.5540541,222
10005,2146,7803,80880,1,0.533233383,475,147.9462103,197.7506112,409
10039,2903,7136,39635,1,0.471660524,433,128.2985782,187.8436019,211
10003,344,9652,115265,10,4.129461162,1985,749.9166667,200.1128472,576
10003,167,9836,117810,61,30.81555533,5853,2804.189055,195.3731343,603
9996,2067,7942,55925,1,0.503701481,474,141.2888087,201.8953069,277
10005,2706,7299,48470,1,0.500949525,463,139.7310924,203.6554622,238
10019,2304,7644,50540,1,0.525301926,490,135.0230769,194.3846154,260
10053,2941,7112,44125,1,0.499055008,469,132.4889868,194.3832599,227
10005,2597,7408,39280,1,0.448875562,484,120.1990521,186.1611374,211
9997,2553,7482,51375,1,0.505551665,471,134.047619,203.8690476,252
10002,2397,7605,79645,1,0.485802839,478,156.956962,201.6329114,395
10001,2611,7390,64390,1,0.465153485,494,140.0333333,195.1212121,330
10008,2879,7082,45605,1,0.473121503,466,137.1435185,211.1342593,216
